No.,Time,Source,Source port,Destination,Destination port,Protocol,Length,Info,Date time
1,1141039.510415,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.000183
2,1182027.968398,10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question",0.045257
3,1161639.03131,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.000987
4,350988.122884,10.42.0.13,61874.0,10.42.0.49,52432.0,TCP,54,61827  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.000234
5,247957.495217,10.42.0.49,52432.0,10.42.0.13,59484.0,TCP,54,52432  >  59894 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.000512
6,1141423.123125,10.42.0.49,52432.0,10.42.0.13,50324.0,TCP,54,52432  >  50322 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.103451
7,418620.990799,10.42.0.49,61389.0,54.216.1.110,443.0,TLSv1.2,123,Application Data,1.137932
8,246304.353786,10.42.0.13,59466.0,10.42.0.49,52432.0,TCP,54,59468  >  52432 [ACK] Seq=496 Ack=1344 Win=65535 Len=0,0.003183
9,373203.03119,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.007853
10,418617.702583,10.42.0.49,61389.0,54.216.1.110,443.0,TLSv1.2,555,Application Data,0.106446
11,1182027.846078,10.42.0.49,52432.0,10.42.0.13,50945.0,TCP,54,52432  >  50949 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.002398
12,1152029.708325,10.42.0.13,50556.0,10.42.0.49,52432.0,TCP,54,50556  >  52432 [ACK] Seq=496 Ack=1344 Win=65535 Len=0,0.003259
13,1158388.333314,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,270,"Standard query response 0x0000 PTR _hap._tcp.local, ""QU"" question PTR MSS210-9f39._hap._tcp.local SRV 0 0 52432 Meross_Smart_Pl",
14,1155358.13529,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.010897
15,422076.322057,10.42.0.49,61389.0,54.216.1.110,443.0,TLSv1.2,539,Application Data,0.001481
16,1171336.785736,10.42.0.49,52432.0,10.42.0.13,50706.0,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.046889
