No.,Time,Source,Source port,Destination,Destination port,Protocol,Length,Info,Date time
1,256986.881596,10.42.0.13,52986.0,10.42.0.49,52432.0,TCP,54.0,59828  >  52432 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.006797
2,354108.574116,10.42.0.49,52432.0,10.42.0.13,61887.0,TCP,54.0,52432  >  61883 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.000118
3,1144735.89409,10.42.0.13,50500.0,10.42.0.49,52432.0,TCP,54.0,50505  >  52432 [ACK] Seq=414 Ack=302 Win=65535 Len=0,0.000111
4,1132277.46135,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174.0,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.007814
5,1161201.924121,10.42.0.49,52432.0,10.42.0.13,50611.0,HTTP,491.0,Continuation,0.001079
6,1132277.577449,10.42.0.13,50329.0,10.42.0.28,80.0,TCP,54.0,50392  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000104
7,376139.419533,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174.0,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.001034
8,1166231.986571,10.42.0.49,52432.0,10.42.0.13,50703.0,TCP,54.0,52432  >  50601 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.102848
9,1161681.029657,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,174.0,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.009041
10,1138202.787458,10.42.0.13,50391.0,10.42.0.49,52432.0,TCP,54.0,50320  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.006676
11,1143446.81149,10.42.0.49,52432.0,10.42.0.13,50522.0,TCP,54.0,52432  >  50494 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.000186
12,240085.841546,10.42.0.49,52432.0,10.42.0.13,59681.0,TCP,54.0,52432  >  59695 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.102469
13,1175417.633221,10.42.0.49,52432.0,10.42.0.13,50894.0,TCP,54.0,52432  >  50323 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.002567
14,324132.610533,10.42.0.13,59474.0,10.42.0.49,52432.0,TCP,54.0,59474  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.005594
15,373225.760165,10.42.0.13,61910.0,10.42.0.49,52432.0,TCP,54.0,61960  >  52432 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.003931
16,1145698.924676,10.42.0.49,5353.0,10.42.0.13,5353.0,MDNS,270.0,"Standard query response 0x0000 PTR _hap._tcp.local, ""QU"" question PTR MSS210-9f39._hap._tcp.local SRV 0 0 52432 Meross_Smart_Pl",
17,350984.94527,10.42.0.13,51353.0,10.42.0.28,80.0,TCP,54.0,51393  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.001051
