No.,Time,Source,Source port,Destination,Destination port,Protocol,Length,Info,Date time
1,320326.284834,10.42.0.13,50102.0,10.42.0.28,80.0,TCP,54,50101  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000104
2,1136707.54526,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,539,Application Data,0.104533
3,375292.126696,10.42.0.49,52432.0,10.42.0.13,61954.0,TCP,54,52432  >  61982 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.159994
4,237087.058998,10.42.0.13,51083.0,10.42.0.28,80.0,TCP,54,51167  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000104
5,1176913.06001,10.42.0.49,52432.0,10.42.0.13,50705.0,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.044794
6,351019.640657,10.42.0.13,51381.0,10.42.0.28,80.0,TCP,54,51343  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000249
7,410997.91059,10.42.0.49,61389.0,54.216.1.110,443.0,TLSv1.2,555,Application Data,0.107249
8,1158387.166934,10.42.0.49,52432.0,10.42.0.13,50534.0,HTTP,135,HTTP/1.1 200 OK  (application/pairing+tlv8),0.046852
9,1161618.396726,10.42.0.49,52432.0,10.42.0.13,50702.0,TCP,54,52432  >  50614 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.005014
10,1132277.798132,10.42.0.49,52432.0,10.42.0.13,50322.0,HTTP,274,HTTP/1.1 200 OK  (application/pairing+tlv8),0.250258
11,351019.302116,10.42.0.13,51363.0,10.42.0.28,80.0,TCP,54,51381  >  80 [ACK] Seq=483 Ack=103 Win=65535 Len=0,0.000118
12,255908.069776,10.42.0.28,80.0,10.42.0.13,52749.0,TCP,54,80  >  52776 [ACK] Seq=1 Ack=482 Win=2439 Len=0,0.000107
13,375710.17199,10.42.0.28,80.0,10.42.0.13,51389.0,TCP,54,80  >  51389 [ACK] Seq=1 Ack=483 Win=2438 Len=0,0.002232
14,410997.92621,10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question",0.010112
15,1178000.454672,10.42.0.13,50755.0,10.42.0.49,52432.0,TCP,54,50552  >  52432 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.006598
16,1166690.319297,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,539,Application Data,0.001298
17,412508.90637,10.42.0.49,52432.0,10.42.0.13,62474.0,TCP,54,52432  >  62582 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.15805
18,1148620.282999,10.42.0.13,5353.0,10.42.0.49,5353.0,MDNS,87,"Standard query 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question",0.001118
19,255907.006227,10.42.0.28,80.0,10.42.0.13,52740.0,TCP,54,80  >  52778 [ACK] Seq=1 Ack=482 Win=2439 Len=0,0.002408
20,1166121.033229,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,539,Application Data,0.12436
21,238903.010362,10.42.0.13,50717.0,10.42.0.28,80.0,TCP,54,50707  >  80 [ACK] Seq=482 Ack=103 Win=65535 Len=0,0.000111
22,353509.451112,10.42.0.13,51363.0,10.42.0.28,80.0,TCP,54,51350  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.000105
23,1170554.910225,10.42.0.13,50551.0,10.42.0.49,52432.0,TCP,54,50551  >  52432 [ACK] Seq=163 Ack=221 Win=65535 Len=0,0.000111
24,1165690.988783,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,123,Application Data,18.229562
25,1132277.42463,10.42.0.13,50326.0,10.42.0.49,52432.0,TCP,54,50326  >  52432 [ACK] Seq=414 Ack=302 Win=65535 Len=0,0.003461
26,350985.856898,10.42.0.28,80.0,10.42.0.13,51388.0,TCP,54,80  >  51385 [ACK] Seq=1 Ack=483 Win=2438 Len=0,0.002533
27,351008.31191,10.42.0.13,51353.0,10.42.0.28,80.0,TCP,54,51353  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.002489
28,351006.60593,10.42.0.28,80.0,10.42.0.13,51368.0,TCP,54,80  >  51351 [ACK] Seq=1 Ack=483 Win=2438 Len=0,0.002106
29,1132277.937079,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,539,Application Data,0.117357
30,1144787.89245,10.42.0.49,52432.0,10.42.0.13,50526.0,TCP,54,[TCP Keep-Alive ACK] 52432  >  50596 [ACK] Seq=1781 Ack=496 Win=5345 Len=0,0.000
31,1149349.071418,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,123,Application Data,9.123845
32,1166078.229656,10.42.0.13,50705.0,10.42.0.49,52432.0,TCP,54,50707  >  52432 [ACK] Seq=163 Ack=221 Win=65535 Len=0,0.003333
33,1132277.900332,10.42.0.49,61395.0,99.81.71.200,443.0,TCP,54,61395  >  443 [ACK] Seq=30721 Ack=14990 Win=5111 Len=0,0.171331
34,1153827.073181,10.42.0.49,61395.0,99.81.71.200,443.0,TLSv1.2,123,Application Data,2.236197
