No.,Time,Source,Source port,Destination,Destination port,Protocol,Length,Info,Date time
1,320368.852475,10.42.0.49,61387,54.216.1.110,443,TCP,54,61387  >  443 [ACK] Seq=11242 Ack=301376 Win=5702 Len=0,0.141976
2,1132277.587468,10.42.0.13,50326,10.42.0.28,80,TCP,54,65068  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.001052
3,356506.734832,10.42.0.49,52432,10.42.0.13,61819,HTTP,1096,Continuation,0.006844
4,1181202.523581,10.42.0.49,52432,10.42.0.13,50549,TCP,54,52432  >  50555 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.003996
5,1132277.926596,10.42.0.49,52432,10.42.0.13,50328,TCP,54,52432  >  50532 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.103127
6,1177055.630225,10.42.0.49,5353,10.42.0.13,5353,MDNS,270,"Standard query response 0x0000 PTR _hap._tcp.local, ""QU"" question PTR MSS210-9f39._hap._tcp.local SRV 0 0 52432 Meross_Smart_Pl",
7,356.718199,10.42.0.140,59888,10.42.0.49,80,TCP,54,59887  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.005552
8,1171121.391293,10.42.0.49,52432,10.42.0.13,50495,TCP,54,52432  >  50497 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.005789
9,351063.321288,10.42.0.13,61872,10.42.0.49,52432,TCP,54,61828  >  52432 [ACK] Seq=1 Ack=1 Win=65535 Len=0,0.001045
10,351064.610375,10.42.0.49,52432,10.42.0.13,61872,TCP,54,52432  >  61861 [ACK] Seq=1781 Ack=497 Win=5344 Len=0,0.000128
11,1143475.17312,10.42.0.49,5353,10.42.0.13,5353,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.000122
12,1143493.474335,10.42.0.49,5353,10.42.0.13,5353,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.000241
13,315228.387382,10.42.0.49,5353,10.42.0.13,5353,MDNS,174,"Standard query response 0x0000 TXT MSS210-9f39._hap._tcp.local, ""QU"" question TXT",0.000884
14,320085.191719,10.42.0.28,80,10.42.0.13,51378,TCP,54,80  >  51380 [ACK] Seq=1 Ack=483 Win=2438 Len=0,0.002583
15,1132277.263365,10.42.0.13,50324,10.42.0.49,52432,TCP,54,50326  >  52432 [ACK] Seq=496 Ack=1781 Win=65535 Len=0,0.000146
16,320015.510578,10.42.0.28,80,10.42.0.13,51378,TCP,54,80  >  51351 [ACK] Seq=1 Ack=482 Win=2439 Len=0,0.001057
17,1149343.411276,10.42.0.49,52432,10.42.0.13,50341,TCP,54,52432  >  50411 [ACK] Seq=1 Ack=163 Win=5678 Len=0,0.006259
18,1162467.99357,10.42.0.49,61395,99.81.71.200,443,TLSv1.2,123,Application Data,0.001275
19,1132279.620877,10.42.0.49,61395,99.81.71.200,443,TLSv1.2,539,Application Data,0.125967
